Variant,Mean_MB/s,StdDev,CV%,Runs,Impact%,CompileTime_s
baseline,2278.05,263.44,11.56,20,0,22.880080695
no_consteval,1115.10,38.71,3.47,20,-50.0,23.056073266
no_simd_escaping,1826.12,26.48,1.45,20,-10.0,22.400701758
no_fast_digits,1723.83,69.55,4.03,20,-20.0,23.311722170
no_branch_hints,2141.79,294.10,13.73,20,0,23.108256281
linear_growth,1352.53,52.48,3.88,20,-40.0,22.861509254
