			
"apache_builds"	0.007328	0.485559	0.292574	0.877138	1.662598	"apache_builds"	0.007271	0.423841	0.291061	0.892113	1.614286	"apache_builds"	0.007640	0.485433	0.291796	0.870452	1.655321	"apache_builds"	0.007415	0.485800	0.293699	0.356826	1.143740
"canada"	0.001209	0.487442	0.464806	2.686917	3.640375	"canada"	0.001204	0.426517	0.452796	2.689137	3.569653	"canada"	0.001183	0.488880	0.463882	0.836733	1.790678	"canada"	0.001236	0.490479	0.464351	2.673303	3.629369
"citm_catalog"	0.001499	0.488949	0.261449	0.752828	1.504725	"citm_catalog"	0.001464	0.424282	0.260104	0.753067	1.438917	"citm_catalog"	0.001478	0.488351	0.261130	0.541094	1.292053	"citm_catalog"	0.001449	0.488968	0.261403	0.580684	1.332504
"github_events"	0.013361	0.494244	0.246080	0.774359	1.528044	"github_events"	0.013374	0.425729	0.243551	0.772782	1.455437	"github_events"	0.014010	0.489245	0.244638	0.731513	1.479406	"github_events"	0.015342	0.489160	0.244213	0.334207	1.082922
"gsoc-2018"	0.000826	0.488988	0.154592	0.601582	1.245988	"gsoc-2018"	0.000843	0.426739	0.152153	0.608686	1.188422	"gsoc-2018"	0.000869	0.488455	0.155635	0.601689	1.246647	"gsoc-2018"	0.000802	0.487211	0.153431	0.096197	0.737642
"instruments"	0.004011	0.483759	0.330648	0.996747	1.815166	"instruments"	0.004063	0.422462	0.315087	0.996492	1.738104	"instruments"	0.005009	0.483712	0.314954	0.794567	1.598242	"instruments"	0.004279	0.484335	0.320275	0.636128	1.445018
"marine_ik"	0.001088	0.492545	0.567895	3.216496	4.278025	"marine_ik"	0.001152	0.432704	0.555074	3.073536	4.062466	"marine_ik"	0.001104	0.492980	0.566384	1.145714	2.206182	"marine_ik"	0.001118	0.494066	0.567027	2.941053	4.003264
"mesh"	0.001266	0.482345	0.459905	3.152173	4.095688	"mesh"	0.001334	0.419610	0.452516	3.075934	3.949394	"mesh"	0.001232	0.481535	0.440238	0.952637	1.875642	"mesh"	0.001392	0.487624	0.461434	3.131380	4.081831
"mesh.pretty"	0.001662	0.486766	0.294944	1.936844	2.720216	"mesh.pretty"	0.001690	0.424904	0.293945	1.904158	2.624698	"mesh.pretty"	0.001677	0.486828	0.293982	0.457974	1.240460	"mesh.pretty"	0.001772	0.492329	0.294710	1.909339	2.698151
"numbers"	0.005634	0.484789	0.321133	2.600563	3.412118	"numbers"	0.006507	0.422578	0.328497	2.556770	3.314353	"numbers"	0.005595	0.484189	0.319650	0.585530	1.394965	"numbers"	0.005892	0.512183	0.318648	2.657423	3.494146
"random"	0.001697	0.758870	0.462287	1.425822	2.648676	"random"	0.001756	0.419843	0.448547	1.414645	2.284791	"random"	0.001709	0.760136	0.457926	1.345947	2.565719	"random"	0.001949	0.758733	0.462184	0.719561	1.942427
"twitterescaped"	0.001743	0.481575	0.349243	2.512761	3.345322	"twitterescaped"	0.001793	0.420580	0.345964	2.506496	3.274832	"twitterescaped"	0.001570	0.491941	0.339459	2.416087	3.249056	"twitterescaped"	0.001660	0.482065	0.321473	0.435239	1.240437
"twitter"	0.001700	0.606046	0.321797	0.844957	1.774500	"twitter"	0.001437	0.420447	0.310542	0.805940	1.538366	"twitter"	0.001447	0.602814	0.316407	0.730523	1.651192	"twitter"	0.001434	0.653295	0.308602	0.393862	1.357193
"update-center"	0.001877	0.484238	0.430788	1.212296	2.129199	"update-center"	0.001859	0.420243	0.423684	1.207644	2.053429	"update-center"	0.002735	0.483764	0.430121	1.202701	2.119320	"update-center"	0.001692	0.484355	0.425450	0.513614	1.425112
